"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","001","000958","TG0100","04/03/2024","165","1647","1733","-86","-5.2"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","001","000989","FP0200","08/03/2024","200","1932","2100","-168","-8.7"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","001","001020","TG0100","13/03/2024","50","499","525","-26","-5.2"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","001","001073","TG0100","20/03/2024","100","997","1050","-53","-5.3"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","003","001314","TE0300","14/05/2024","50","447","525","-78","-17.4"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","003","001389","TT0700","31/05/2024","1","10","11","-1","-8.7"
"JL-L01-BZ","BRONZE LEAVE MEDAL 50MM(DIA)","003","001454","TA0100","21/06/2024","20","189","210","-21","-11.0"
"TOTALS:","","","","","","897","8637","9419","-782","-9.1"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000076","UBMM01","11/10/2023","50","510","525","-16","-3.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","002","000186","FP0200","25/10/2023","150","1449","1575","-126","-8.7"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000192","UBMM01","25/10/2023","130","1325","1365","-40","-3.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000240","SHA010","01/11/2023","405","4253","4253","0","0.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000347","3DCC01","13/11/2023","100","966","1050","-84","-8.7"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000403","SHA010","17/11/2023","100","1050","1050","0","0.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000487","UBMM01","24/11/2023","50","510","525","-15","-2.9"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000558","TG0100","01/12/2023","185","1846","1943","-96","-5.2"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000559","TG0100","01/12/2023","100","997","1050","-53","-5.3"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000628","SHA010","07/12/2023","30","315","315","0","0.0"
