"ITEM NUMBER","DESCRIPTION","SUPPLIER","DOCNO","REFNO","DATE","QUANTITY","PRICE","TOTAL"
"CS-MAP-M","MAP OF AFRICA B/BASE 210MM","KWC000 KWC","000006","000006","20/06/2024","120.00","358.00","42960.00"
"CS-MAP-M","MAP OF AFRICA B/BASE 210MM","KWC000 KWC","000009","000009","08/10/2024","100.00","315.00","31500.00"
"CS-MAP-S","MAP OF AFRICA B/BASE 170MM","KWC000 KWC","000009","000009","08/10/2024","100.00","266.00","26600.00"
"CS-N54-140G","TROPHY GLASS 140MM(D) 160M","KWC000 KWC","000004","000004","28/02/2024","120.00","120.00","14400.00"
"CS-N54-160G","TROPHY GLASS 160MM(D) 185M","KWC000 KWC","000004","000004","28/02/2024","120.00","143.00","17160.00"
"CS-PP102-L","SLANTED BLUE PIECE 255MM(H","KWC000 KWC","000001","000001","17/11/2023","72.00","315.00","22680.00"
"CS-PP102-L","SLANTED BLUE PIECE 255MM(H","KWC000 KWC","000006","000006","20/06/2024","200.00","334.00","66800.00"
"CS-PP102-L","SLANTED BLUE PIECE 255MM(H","KWC000 KWC","000009","000009","08/10/2024","120.00","294.00","35280.00"
"CS-PP102-M","SLANTED BLUE PIECE 225MM(H","KWC000 KWC","000001","000001","17/11/2023","72.00","270.00","19440.00"
"CS-PP102-M","SLANTED BLUE PIECE 225MM(H","KWC000 KWC","000006","000006","20/06/2024","200.00","286.00","57200.00"
"CS-PP102-M","SLANTED BLUE PIECE 225MM(H","KWC000 KWC","000009","000009","08/10/2024","120.00","252.00","30240.00"
"CS-PP102R-L","SLANTED PAINTED RED 255MM(","KWC000 KWC","000006","000006","20/06/2024","120.00","334.00","40080.00"
"CS-PP102R-L","SLANTED PAINTED RED 255MM(","KWC000 KWC","000009","000009","08/10/2024","60.00","294.00","17640.00"
"CS-PP102R-M","SLANTED PAINTED RED 225MM(","KWC000 KWC","000001","000001","17/11/2023","60.00","270.00","16200.00"
"CS-PP102R-M","SLANTED PAINTED RED 225MM(","KWC000 KWC","000006","000006","20/06/2024","120.00","286.00","34320.00"
"CS-PP102R-M","SLANTED PAINTED RED 225MM(","KWC000 KWC","000009","000009","08/10/2024","60.00","252.00","15120.00"
"CS-PP102R-S","SLANTED PAINTED RED 185MM(","KWC000 KWC","000001","000001","17/11/2023","96.00","232.00","22272.00"
"CS-PP102R-S","SLANTED PAINTED RED 185MM(","KWC000 KWC","000006","000006","20/06/2024","120.00","247.00","29640.00"
"CS-PP102-S","SLANTED BLUE PIECE 185MM(H","KWC000 KWC","000001","000001","17/11/2023","72.00","232.00","16704.00"
"CS-PP102-S","SLANTED BLUE PIECE 185MM(H","KWC000 KWC","000006","000006","20/06/2024","120.00","247.00","29640.00"
